,state,city,county,year,day_of_week,hospital,lighting,population_type,weather,fatalities
0,Utah,SPANISH FORK,UTAH (49),2022,Tuesday,1,Daylight,Urban,Clear,1
0,Utah,CEDAR CITY,IRON (21),2022,Saturday,0,Daylight,Rural,Clear,1
0,Utah,GRANTSVILLE,TOOELE (45),2022,Saturday,0,Dawn,Rural,Clear,1
0,Utah,SALEM,UTAH (49),2022,Sunday,1,Daylight,Urban,Clear,1
0,Utah,PRICE,CARBON (7),2022,Wednesday,1,Daylight,Urban,Clear,1
0,Utah,TAYLORSVILLE,SALT LAKE (35),2022,Saturday,1,Dark - Lighted,Urban,Cloudy,1
0,Utah,SANDY CITY,SALT LAKE (35),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Monday,1,Dark - Lighted,Urban,Clear,1
0,Utah,WENDOVER,TOOELE (45),2022,Thursday,0,Dark - Not Lighted,Urban,Cloudy,1
0,Utah,HEBER CITY,WASATCH (51),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Friday,0,Dark - Lighted,Urban,Clear,1
0,Utah,PEOA,SUMMIT (43),2022,Thursday,0,Daylight,Rural,Cloudy,1
0,Utah,LEHI,UTAH (49),2022,Monday,1,Daylight,Urban,Clear,1
0,Utah,PARK CITY,SUMMIT (43),2022,Sunday,0,Dark - Not Lighted,Urban,Cloudy,1
0,Utah,HOWELL,BOX ELDER (3),2022,Friday,1,Daylight,Rural,Cloudy,1
0,Utah,UINTAH,WEBER (57),2022,Tuesday,0,Dark - Not Lighted,Urban,Severe Crosswinds,1
0,Utah,EAGLE MOUNTAIN,UTAH (49),2022,Monday,1,Daylight,Urban,Cloudy,2
0,Utah,ST. GEORGE,WASHINGTON (53),2022,Wednesday,1,Daylight,Urban,Clear,1
0,Utah,OGDEN,WEBER (57),2022,Friday,1,Dark - Lighted,Urban,Clear,1
0,Utah,HEBER CITY,WASATCH (51),2022,Monday,1,Dark - Lighted,Urban,Cloudy,1
0,Utah,OREM,UTAH (49),2022,Monday,1,Daylight,Urban,Clear,1
0,Utah,EAGLE MOUNTAIN,UTAH (49),2022,Wednesday,1,Daylight,Urban,Clear,1
0,Utah,CEDAR FORT,UTAH (49),2022,Friday,1,Daylight,Rural,Clear,1
0,Utah,WEST VALLEY CITY,SALT LAKE (35),2022,Friday,1,Dark - Not Lighted,Urban,Clear,1
0,Utah,OGDEN,WEBER (57),2022,Thursday,1,Daylight,Urban,Clear,1
0,Utah,HELPER,CARBON (7),2022,Thursday,0,Daylight,Rural,Clear,1
0,Utah,NORTH OGDEN,WEBER (57),2022,Saturday,1,Dark - Not Lighted,Urban,Severe Crosswinds,2
0,Utah,DRAPER,SALT LAKE (35),2022,Thursday,1,Dark - Lighted,Urban,Clear,1
0,Utah,BRYCE CANYON,GARFIELD (17),2022,Monday,1,Daylight,Rural,Clear,2
0,Utah,MURRAY,SALT LAKE (35),2022,Wednesday,1,Dark - Lighted,Urban,Clear,1
0,Utah,DRAPER,SALT LAKE (35),2022,Monday,1,Dark - Lighted,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Saturday,0,Dark - Lighted,Urban,Clear,1
0,Utah,OGDEN,WEBER (57),2022,Wednesday,1,Daylight,Urban,Clear,1
0,Utah,ST. GEORGE,WASHINGTON (53),2022,Saturday,1,Daylight,Urban,Clear,1
0,Utah,BLUEBELL,DUCHESNE (13),2022,Friday,0,Daylight,Rural,Clear,1
